"country","latestRate","dataYear","pop2022"
"Romania","98.7570","2015","19659267"
"Montenegro","98.7199","2015","627082"
"Bosnia and Herzegovina","98.4858","2015","3233526"
"Uruguay","98.4421","2015","3422794"
"Bulgaria","98.3886","2015","6781953"
"Mongolia","98.3676","2015","3398366"
"Marshall Islands","98.2651","2015","41569"
"Spain","98.1145","2015","47558630"
"Argentina","98.0900","2015","45510318"
"Jordan","98.0144","2015","11285869"
"Serbia","98.0029","2015","7221365"
"Austria","98","2011","8939617"
"French Polynesia","98","1977","306279"
"Bermuda","98","2005","64184"
"Turks and Caicos Islands","98","1970","45703"
"South Korea","97.9659","2008","51815810"
"North Macedonia","97.8438","2015","2093599.0000"
"Saint Kitts and Nevis","97.8000","2003","47657"
"British Virgin Islands","97.8000","1991","31305"
"Qatar","97.7571","2015","2695122"
"Costa Rica","97.6472","2015","5180829"
"Albania","97.5539","2015","2842321"
"Aruba","97.5242","2015","106445"
"American Samoa","97.3442","1980","44273"
"Israel","97.1000","2004","9038309"
"Northern Mariana Islands","97","1980","49551"
"Montserrat","97","1970","4390"
"New Caledonia","96.9378","2015","289950"
"Singapore","96.7746","2015","5975689"
"Palestine","96.6680","2015","5250072"
"Brunei","96.6565","2015","449002"
"Chile","96.6275","2015","19603733"
"Philippines","96.6180","2015","115559009"
"China","96.3575","2015","1425887337"
"Kuwait","96.1177","2015","4268873"
"Taiwan","96.1000","2003","23893394"
"Grenada","96","2003","125438"
"San Marino","96","2011","33660"
"Bahrain","95.7173","2015","1472233"
"Turkey","95.6881","2015","85341241"
"Saint Vincent and the Grenadines","95.6322","1970","103948"
"Bahamas","95.6000","2003","409984"
"Suriname","95.5390","2015","618040"
"Paraguay","95.5361","2015","6780744"
"Indonesia","95.4377","2015","275501339"
"Portugal","95.4281","2015","10270865"
"Venezuela","95.3992","2015","28301696"
"Seychelles","95.3211","2015","107118"
"Greece","95.2929","2015","10384971"
"Equatorial Guinea","95.1957","2015","1674908"
"Bolivia","95.1419","2015","12224110"
"Panama","95.0382","2015","4408581"
"Cook Islands","95","2011","17011"
"Anguilla","95","1984","15857"
"Niue","95","2011","1934"
"Saudi Arabia","94.8424","2015","36408820"
"Malaysia","94.6370","2015","33938221"
"South Africa","94.5979","2015","59893885"
"Colombia","94.5771","2015","51874024"
"Mexico","94.5456","2015","127504125"
"Ecuador","94.5155","2015","18001000"
"Vietnam","94.5143","2015","98186856"
"Peru","94.3744","2015","34049588"
"Malta","94.0666","2015","533286"
"Lebanon","94.0511","2015","5489739"
"Dominica","94","2003","72737"
"Thailand","93.9830","2015","71697030"
"Oman","93.9716","2015","4576298"
"Fiji","93.7000","2003","929766"
"Hong Kong","93.5000","2002","7488865"
"Puerto Rico","93.3294","2015","3252407"
"Myanmar","93.0901","2015","54179306"
"United Arab Emirates","92.9864","2015","9441129"
"Sri Lanka","92.6142","2015","21832143"
"Brazil","92.5868","2015","215313498"
"Dominican Republic","92.4654","2015","11228821"
"Sao Tome and Principe","91.7471","2015","227380"
"Libya","91.3889","2015","6812341"
"Namibia","90.8205","2015","2567012"
"Mauritius","90.6160","2015","1299469"
"Saint Lucia","90.1000","2001","179857"
"Micronesia","89","1980","114164"
"Jamaica","88.4999","2015","2827377"
"Cape Verde","88.4654","2015","593149"
"Honduras","88.4246","2015","10432860"
"Botswana","88.2244","2015","2630296"
"El Salvador","87.6482","2015","6336392"
"Guyana","87.5353","2015","808726"
"Eswatini","87.4702","2015","1201670"
"Iran","87.1725","2015","88550570"
"Zimbabwe","86.8735","2015","16320537"
"Syria","86.3039","2015","22125249"
"Burundi","85.4961","2015","12889576"
"Zambia","85.1173","2015","20017675"
"Vanuatu","85.0587","2015","326740"
"Solomon Islands","84.1000","2011","724273"
"Gabon","83.2379","2015","2388992"
"Belize","82.7768","2015","405272"
"Nicaragua","82.4718","2015","6948392"
"Tunisia","81.0542","2015","12356117"
"Tanzania","80.3595","2015","65497748"
"Gibraltar","80","2011","32649"
"Laos","79.8675","2015","7529475"
"Iraq","79.7218","2015","44496122"
"Algeria","79.6084","2015","44903225"
"Lesotho","79.3609","2015","2305825"
"Guatemala","79.0742","2015","17843908"
"Cambodia","78.3459","2015","16767842"
"Comoros","78.1374","2015","836774"
"Kenya","78.0234","2015","54027487"
"DR Congo","77.2217","2015","99010212"
"Ghana","76.5759","2015","33475870.0000"
"Egypt","75.8426","2015","110990103"
"Cameroon","74.9856","2015","27914536"
"Eritrea","73.8453","2015","3684032"
"Uganda","73.8098","2015","47249585"
"India","72.2253","2015","1417173173"
"Morocco","71.7105","2015","37457971"
"Rwanda","71.2435","2015","13776698"
"Angola","71.1642","2015","35588987"
"Yemen","69.9620","2015","33696614"
"Djibouti","67.9000","2003","1120849"
"Togo","66.5376","2015","8848699"
"Malawi","65.9638","2015","20405317"
"Nepal","64.6636","2015","30547580"
"Madagascar","64.6563","2015","29611714"
"Bhutan","63.9068","2015","782455"
"Papua New Guinea","63.4335","2015","10142619"
"Bangladesh","61.4938","2015","171186372"
"Haiti","60.6893","2015","11584996"
"Guinea-Bissau","59.7728","2015","2105566"
"Nigeria","59.5681","2015","218541212"
"Mozambique","58.8366","2015","32969518.0000"
"Sudan","58.6013","2015","46874204"
"Pakistan","56.4403","2015","235824862"
"Senegal","55.6249","2015","17316449"
"Gambia","55.5728","2015","2705992"
"Mauritania","52.1236","2015","4736139"
"Wallis and Futuna","50","1969","11572"
"Ethiopia","49.0315","2015","123379924"
"Sierra Leone","48.4319","2015","8605718"
"Liberia","47.6001","2015","5302681"
"Ivory Coast","43.2653","2015","28160542"
"Chad","40.0182","2015","17723315"
"Benin","38.4471","2015","13352864"
"Afghanistan","38.1680","2015","41128771"
"Somalia","37.8000","2001","17597511"
"Burkina Faso","37.7467","2015","22673762"
"Central African Republic","36.7526","2015","5579144"
"Mali","33.0689","2015","22593590"
"South Sudan","31.9763","2015","10913164"
"Guinea","30.4728","2015","13859341"
"Niger","19.1026","2015","26207977"
