"rank","country","happiness2021","happiness2020","scoreDifference"
"86","Bulgaria","5.2660","5.1020","0.1640"
"87","Maldives","5.1980","5.1980","0"
"88","Azerbaijan","5.1710","5.1650","0.0060"
"89","Cameroon","5.1420","5.0850","0.0570"
"90","Senegal","5.1320","4.9810","0.1510"
"91","Albania","5.1170","4.8830","0.2340"
"92","North Macedonia","5.1010","5.1600","-0.0590"
"93","Ghana","5.0880","5.1480","-0.0600"
"94","Niger","5.0740","4.9100","0.1640"
"95","Turkmenistan","5.0660","5.1190","-0.0530"
"96","Gambia","5.0510","4.7510","0.3000"
"97","Benin","5.0450","5.2160","-0.1710"
"98","Laos","5.0300","4.8890","0.1410"
"99","Bangladesh","5.0250","4.8330","0.1920"
"100","Guinea","4.9840","4.9490","0.0350"
"101","South Africa","4.9560","4.8140","0.1420"
"102","Turkey","4.9480","5.1320","-0.1840"
"103","Pakistan","4.9340","5.6930","-0.7590"
"104","Morocco","4.9180","5.0950","-0.1770"
"105","Venezuela","4.8920","5.0530","-0.1610"
"106","Georgia","4.8910","4.6730","0.2180"
"107","Algeria","4.8870","5.0050","-0.1180"
"108","Ukraine","4.8750","4.5610","0.3140"
"109","Iraq","4.8540","4.7850","0.0690"
"110","Gabon","4.8520","4.8290","0.0230"
"111","Burkina Faso","4.8340","4.7690","0.0650"
"112","Cambodia","4.8300","4.8480","-0.0180"
"113","Mozambique","4.7940","4.6240","0.1700"
"114","Nigeria","4.7590","4.7240","0.0350"
"115","Mali","4.7230","4.7290","-0.0060"
"116","Iran","4.7210","4.6720","0.0490"
"117","Uganda","4.6360","4.4320","0.2040"
"118","Liberia","4.6250","4.5580","0.0670"
"119","Kenya","4.6070","4.5830","0.0240"
"120","Tunisia","4.5960","4.3920","0.2040"
"121","Lebanon","4.5840","4.7720","-0.1880"
"122","Namibia","4.5740","4.5710","0.0030"
"123","Myanmar","4.4260","4.3080","0.1180"
"124","Jordan","4.3950","4.6330","-0.2380"
"125","Chad","4.3550","4.4230","-0.0680"
"126","Sri Lanka","4.3250","4.3270","-0.0020"
"127","Eswatini","4.3080","4.3080","0"
"128","Comoros","4.2890","4.2890","0"
"129","Egypt","4.2830","4.1510","0.1320"
"130","Ethiopia","4.2750","4.1860","0.0890"
"131","Mauritania","4.2270","4.3750","-0.1480"
"132","Madagascar","4.2080","4.1660","0.0420"
"133","Togo","4.1070","4.1870","-0.0800"
"134","Zambia","4.0730","3.7590","0.3140"
"135","Sierra Leone","3.8490","3.9260","-0.0770"
"136","India","3.8190","3.5730","0.2460"
"137","Burundi","3.7750","3.7750","0"
"138","Yemen","3.6580","3.5270","0.1310"
"139","Tanzania","3.6230","3.4760","0.1470"
"140","Haiti","3.6150","3.7210","-0.1060"
"141","Malawi","3.6000","3.5380","0.0620"
"142","Lesotho","3.5120","3.6530","-0.1410"
"143","Botswana","3.4670","3.4790","-0.0120"
"144","Rwanda","3.4150","3.3120","0.1030"
"145","Zimbabwe","3.1450","3.2990","-0.1540"
"146","Afghanistan","2.5230","2.5670","-0.0440"
